test,anchor,variant,dx,dy,matcher,inliers,total_matches,reproj_err_px,success,inference_ms
spatial_overlap,kharkiv_urban.jpg,dx64_dy0,64,0,orb,1239,1288,0.11,1,24.6
spatial_overlap,kharkiv_urban.jpg,dx64_dy0,64,0,superpoint_lightglue,1762,1762,0.03,1,2939.8
spatial_overlap,kharkiv_urban.jpg,dx64_dy0,64,0,xfeat,3413,3433,0.00,1,122.0
spatial_overlap,kharkiv_urban.jpg,dx128_dy0,128,0,orb,956,1090,0.44,1,24.0
spatial_overlap,kharkiv_urban.jpg,dx128_dy0,128,0,superpoint_lightglue,1519,1519,0.05,1,2882.5
spatial_overlap,kharkiv_urban.jpg,dx128_dy0,128,0,xfeat,2886,2920,0.00,1,114.4
spatial_overlap,kharkiv_urban.jpg,dx192_dy0,192,0,orb,833,860,0.18,1,24.7
spatial_overlap,kharkiv_urban.jpg,dx192_dy0,192,0,superpoint_lightglue,1314,1314,0.05,1,2914.2
spatial_overlap,kharkiv_urban.jpg,dx192_dy0,192,0,xfeat,2415,2503,0.01,1,130.3
spatial_overlap,kharkiv_urban.jpg,dx256_dy0,256,0,orb,639,654,0.27,1,26.0
spatial_overlap,kharkiv_urban.jpg,dx256_dy0,256,0,superpoint_lightglue,1089,1089,0.02,1,2997.8
spatial_overlap,kharkiv_urban.jpg,dx256_dy0,256,0,xfeat,1846,1998,0.03,1,111.9
spatial_overlap,kharkiv_urban.jpg,dx0_dy64,0,64,orb,1244,1378,0.35,1,24.6
spatial_overlap,kharkiv_urban.jpg,dx0_dy64,0,64,superpoint_lightglue,1786,1786,0.01,1,2927.4
spatial_overlap,kharkiv_urban.jpg,dx0_dy64,0,64,xfeat,3474,3487,0.00,1,111.1
spatial_overlap,kharkiv_urban.jpg,dx0_dy128,0,128,orb,1136,1157,0.21,1,24.2
spatial_overlap,kharkiv_urban.jpg,dx0_dy128,0,128,superpoint_lightglue,1521,1522,0.01,1,2942.2
spatial_overlap,kharkiv_urban.jpg,dx0_dy128,0,128,xfeat,2997,3029,0.01,1,112.3
spatial_overlap,kharkiv_urban.jpg,dx0_dy256,0,256,orb,563,638,0.91,1,23.6
spatial_overlap,kharkiv_urban.jpg,dx0_dy256,0,256,superpoint_lightglue,976,977,0.05,1,2936.7
spatial_overlap,kharkiv_urban.jpg,dx0_dy256,0,256,xfeat,1971,2118,0.02,1,115.7
spatial_overlap,kharkiv_urban.jpg,dx64_dy64,64,64,orb,918,1048,0.81,1,24.6
spatial_overlap,kharkiv_urban.jpg,dx64_dy64,64,64,superpoint_lightglue,1554,1555,0.03,1,2891.4
spatial_overlap,kharkiv_urban.jpg,dx64_dy64,64,64,xfeat,2936,2989,0.01,1,109.4
spatial_overlap,kharkiv_urban.jpg,dx128_dy128,128,128,orb,765,791,0.33,1,23.4
spatial_overlap,kharkiv_urban.jpg,dx128_dy128,128,128,superpoint_lightglue,1106,1107,0.04,1,2942.2
spatial_overlap,kharkiv_urban.jpg,dx128_dy128,128,128,xfeat,2047,2257,0.02,1,114.4
spatial_overlap,kharkiv_urban.jpg,dx192_dy192,192,192,orb,450,488,0.68,1,24.1
spatial_overlap,kharkiv_urban.jpg,dx192_dy192,192,192,superpoint_lightglue,803,804,0.06,1,2978.0
spatial_overlap,kharkiv_urban.jpg,dx192_dy192,192,192,xfeat,1422,1784,0.00,1,111.4
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1,20.6
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1,2950.4
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy0,0,0,xfeat,4096,4096,0.00,1,111.3
spatial_overlap,kramatorsk_mixed.jpg,dx32_dy0,32,0,orb,1537,1558,0.21,1,20.4
spatial_overlap,kramatorsk_mixed.jpg,dx32_dy0,32,0,superpoint_lightglue,1929,1929,0.03,1,2917.6
spatial_overlap,kramatorsk_mixed.jpg,dx32_dy0,32,0,xfeat,3730,3737,0.00,1,123.1
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy0,64,0,orb,1330,1353,0.16,1,21.2
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy0,64,0,superpoint_lightglue,1840,1840,0.03,1,2931.1
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy0,64,0,xfeat,3455,3471,0.00,1,111.2
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy0,128,0,orb,751,792,0.18,1,19.7
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy0,128,0,superpoint_lightglue,1601,1601,0.04,1,2916.1
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy0,128,0,xfeat,2841,2868,0.01,1,110.8
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy0,192,0,orb,548,562,0.14,1,20.2
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy0,192,0,superpoint_lightglue,1303,1303,0.03,1,2925.1
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy0,192,0,xfeat,2204,2295,0.02,1,119.3
spatial_overlap,kramatorsk_mixed.jpg,dx256_dy0,256,0,orb,355,372,0.34,1,19.3
spatial_overlap,kramatorsk_mixed.jpg,dx256_dy0,256,0,superpoint_lightglue,1030,1030,0.07,1,2915.0
spatial_overlap,kramatorsk_mixed.jpg,dx256_dy0,256,0,xfeat,1693,1850,0.07,1,125.0
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy64,0,64,orb,1413,1455,0.15,1,21.5
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy64,0,64,superpoint_lightglue,1748,1749,0.02,1,2932.6
