anchor,matcher,tilt_deg,scale,yaw_deg,gamma,shadow,inliers,total_matches,reproj_err_px,success
donbas_rural.jpg,orb,5,0.7,90,1.8,0.0,475,564,1.35,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,90,1.8,0.0,5,31,657.92,0
donbas_rural.jpg,orb,5,0.7,90,1.8,0.4,229,278,2.00,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,90,1.8,0.4,4,15,526.41,0
donbas_rural.jpg,orb,5,1.0,0,1.0,0.0,867,1031,1.40,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,0,1.0,0.0,1530,1615,0.34,1
donbas_rural.jpg,orb,5,1.0,0,1.0,0.4,570,604,0.21,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,0,1.0,0.4,1296,1452,0.27,1
donbas_rural.jpg,orb,5,1.0,0,1.8,0.0,706,805,0.86,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,0,1.8,0.0,1364,1481,0.45,1
donbas_rural.jpg,orb,5,1.0,0,1.8,0.4,438,454,0.14,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,0,1.8,0.4,1317,1416,0.14,1
donbas_rural.jpg,orb,5,1.0,30,1.0,0.0,815,982,1.54,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,30,1.0,0.0,1402,1450,0.18,1
donbas_rural.jpg,orb,5,1.0,30,1.0,0.4,514,588,1.46,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,30,1.0,0.4,1104,1376,1.28,1
donbas_rural.jpg,orb,5,1.0,30,1.8,0.0,678,741,0.51,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,30,1.8,0.0,1298,1372,0.15,1
donbas_rural.jpg,orb,5,1.0,30,1.8,0.4,401,431,0.53,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,30,1.8,0.4,1072,1313,0.54,1
donbas_rural.jpg,orb,5,1.0,90,1.0,0.0,774,1036,1.23,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,90,1.0,0.0,5,42,620.08,0
donbas_rural.jpg,orb,5,1.0,90,1.0,0.4,463,504,0.68,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,90,1.0,0.4,5,27,728.85,0
donbas_rural.jpg,orb,5,1.0,90,1.8,0.0,777,833,0.35,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,90,1.8,0.0,5,18,770.13,0
donbas_rural.jpg,orb,5,1.0,90,1.8,0.4,281,369,1.77,1
donbas_rural.jpg,superpoint_lightglue,5,1.0,90,1.8,0.4,5,15,1124.91,0
donbas_rural.jpg,orb,5,1.4,0,1.0,0.0,263,361,5.59,0
donbas_rural.jpg,superpoint_lightglue,5,1.4,0,1.0,0.0,954,1037,0.37,1
donbas_rural.jpg,orb,5,1.4,0,1.0,0.4,191,256,8.50,0
donbas_rural.jpg,superpoint_lightglue,5,1.4,0,1.0,0.4,893,973,0.52,1
donbas_rural.jpg,orb,5,1.4,0,1.8,0.0,207,338,10.73,0
donbas_rural.jpg,superpoint_lightglue,5,1.4,0,1.8,0.0,859,978,0.66,1
donbas_rural.jpg,orb,5,1.4,0,1.8,0.4,155,198,1.21,1
donbas_rural.jpg,superpoint_lightglue,5,1.4,0,1.8,0.4,696,967,2.39,1
donbas_rural.jpg,orb,5,1.4,30,1.0,0.0,146,222,8.11,0
donbas_rural.jpg,superpoint_lightglue,5,1.4,30,1.0,0.0,811,984,1.66,1
donbas_rural.jpg,orb,5,1.4,30,1.0,0.4,163,187,4.82,1
donbas_rural.jpg,superpoint_lightglue,5,1.4,30,1.0,0.4,629,932,3.32,1
donbas_rural.jpg,orb,5,1.4,30,1.8,0.0,167,208,4.42,1
donbas_rural.jpg,superpoint_lightglue,5,1.4,30,1.8,0.0,690,940,1.54,1
donbas_rural.jpg,orb,5,1.4,30,1.8,0.4,122,154,35.40,0
donbas_rural.jpg,superpoint_lightglue,5,1.4,30,1.8,0.4,706,908,1.50,1
donbas_rural.jpg,orb,5,1.4,90,1.0,0.0,304,366,1.97,1
donbas_rural.jpg,superpoint_lightglue,5,1.4,90,1.0,0.0,4,10,1101.31,0
donbas_rural.jpg,orb,5,1.4,90,1.0,0.4,185,238,3.97,1
donbas_rural.jpg,superpoint_lightglue,5,1.4,90,1.0,0.4,0,6,inf,0
donbas_rural.jpg,orb,5,1.4,90,1.8,0.0,295,349,2.22,1
donbas_rural.jpg,superpoint_lightglue,5,1.4,90,1.8,0.0,0,3,inf,0
donbas_rural.jpg,orb,5,1.4,90,1.8,0.4,164,206,22.65,0
donbas_rural.jpg,superpoint_lightglue,5,1.4,90,1.8,0.4,4,9,1237.80,0
donbas_rural.jpg,orb,10,0.7,0,1.0,0.0,603,640,0.53,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,0,1.0,0.0,1052,1381,0.83,1
donbas_rural.jpg,orb,10,0.7,0,1.0,0.4,385,397,0.54,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,0,1.0,0.4,1018,1306,1.29,1
donbas_rural.jpg,orb,10,0.7,0,1.8,0.0,461,501,0.92,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,0,1.8,0.0,1160,1363,0.41,1
donbas_rural.jpg,orb,10,0.7,0,1.8,0.4,286,314,0.87,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,0,1.8,0.4,1095,1258,0.38,1
donbas_rural.jpg,orb,10,0.7,30,1.0,0.0,536,595,0.39,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,30,1.0,0.0,1160,1309,0.42,1
donbas_rural.jpg,orb,10,0.7,30,1.0,0.4,375,402,0.43,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,30,1.0,0.4,1169,1254,0.29,1
donbas_rural.jpg,orb,10,0.7,30,1.8,0.0,455,478,0.51,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,30,1.8,0.0,1209,1288,0.19,1
donbas_rural.jpg,orb,10,0.7,30,1.8,0.4,256,293,1.41,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,30,1.8,0.4,1104,1253,0.27,1
donbas_rural.jpg,orb,10,0.7,90,1.0,0.0,599,635,0.86,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,90,1.0,0.0,5,42,607.50,0
donbas_rural.jpg,orb,10,0.7,90,1.0,0.4,278,293,0.79,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,90,1.0,0.4,6,40,744.42,0
donbas_rural.jpg,orb,10,0.7,90,1.8,0.0,471,521,1.23,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,90,1.8,0.0,6,53,771.80,0
donbas_rural.jpg,orb,10,0.7,90,1.8,0.4,159,203,1.29,1
donbas_rural.jpg,superpoint_lightglue,10,0.7,90,1.8,0.4,7,20,26632.36,0
donbas_rural.jpg,orb,10,1.0,0,1.0,0.0,792,841,0.44,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,0,1.0,0.0,1278,1527,0.55,1
donbas_rural.jpg,orb,10,1.0,0,1.0,0.4,460,509,1.32,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,0,1.0,0.4,1240,1395,0.44,1
donbas_rural.jpg,orb,10,1.0,0,1.8,0.0,651,700,1.01,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,0,1.8,0.0,1363,1442,0.23,1
donbas_rural.jpg,orb,10,1.0,0,1.8,0.4,298,359,1.38,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,0,1.8,0.4,1161,1348,0.66,1
donbas_rural.jpg,orb,10,1.0,30,1.0,0.0,747,783,0.35,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,30,1.0,0.0,1316,1425,0.49,1
donbas_rural.jpg,orb,10,1.0,30,1.0,0.4,481,503,0.88,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,30,1.0,0.4,1277,1361,0.41,1
donbas_rural.jpg,orb,10,1.0,30,1.8,0.0,558,638,1.85,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,30,1.8,0.0,1189,1349,0.49,1
donbas_rural.jpg,orb,10,1.0,30,1.8,0.4,369,410,2.15,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,30,1.8,0.4,1202,1296,0.45,1
donbas_rural.jpg,orb,10,1.0,90,1.0,0.0,645,821,2.82,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,90,1.0,0.0,6,24,835.74,0
donbas_rural.jpg,orb,10,1.0,90,1.0,0.4,345,372,0.33,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,90,1.0,0.4,6,39,1156.36,0
donbas_rural.jpg,orb,10,1.0,90,1.8,0.0,622,667,1.33,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,90,1.8,0.0,5,21,1179.77,0
donbas_rural.jpg,orb,10,1.0,90,1.8,0.4,236,264,1.76,1
donbas_rural.jpg,superpoint_lightglue,10,1.0,90,1.8,0.4,5,24,715.20,0
donbas_rural.jpg,orb,10,1.4,0,1.0,0.0,333,496,15.07,0
donbas_rural.jpg,superpoint_lightglue,10,1.4,0,1.0,0.0,958,1086,0.80,1
donbas_rural.jpg,orb,10,1.4,0,1.0,0.4,249,306,3.52,1
donbas_rural.jpg,superpoint_lightglue,10,1.4,0,1.0,0.4,808,1017,2.12,1
donbas_rural.jpg,orb,10,1.4,0,1.8,0.0,335,409,2.51,1
donbas_rural.jpg,superpoint_lightglue,10,1.4,0,1.8,0.0,833,994,2.82,1
donbas_rural.jpg,orb,10,1.4,0,1.8,0.4,201,237,4.71,1
donbas_rural.jpg,superpoint_lightglue,10,1.4,0,1.8,0.4,729,992,2.75,1
donbas_rural.jpg,orb,10,1.4,30,1.0,0.0,304,433,4.41,1
donbas_rural.jpg,superpoint_lightglue,10,1.4,30,1.0,0.0,927,1030,0.62,1
donbas_rural.jpg,orb,10,1.4,30,1.0,0.4,238,282,4.16,1
donbas_rural.jpg,superpoint_lightglue,10,1.4,30,1.0,0.4,727,984,1.89,1
donbas_rural.jpg,orb,10,1.4,30,1.8,0.0,299,378,5.87,0
donbas_rural.jpg,superpoint_lightglue,10,1.4,30,1.8,0.0,871,985,0.74,1
donbas_rural.jpg,orb,10,1.4,30,1.8,0.4,172,211,3.73,1
donbas_rural.jpg,superpoint_lightglue,10,1.4,30,1.8,0.4,831,976,2.53,1
donbas_rural.jpg,orb,10,1.4,90,1.0,0.0,440,497,4.79,1
donbas_rural.jpg,superpoint_lightglue,10,1.4,90,1.0,0.0,5,20,1083.32,0
donbas_rural.jpg,orb,10,1.4,90,1.0,0.4,172,204,4.29,1
donbas_rural.jpg,superpoint_lightglue,10,1.4,90,1.0,0.4,4,13,1054.59,0
donbas_rural.jpg,orb,10,1.4,90,1.8,0.0,309,424,4.49,1
donbas_rural.jpg,superpoint_lightglue,10,1.4,90,1.8,0.0,5,16,1175.14,0
donbas_rural.jpg,orb,10,1.4,90,1.8,0.4,142,161,16.69,0
donbas_rural.jpg,superpoint_lightglue,10,1.4,90,1.8,0.4,4,13,988.32,0
donbas_rural.jpg,orb,20,0.7,0,1.0,0.0,393,464,2.72,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,0,1.0,0.0,1156,1287,0.50,1
donbas_rural.jpg,orb,20,0.7,0,1.0,0.4,280,293,0.60,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,0,1.0,0.4,1165,1238,0.20,1
donbas_rural.jpg,orb,20,0.7,0,1.8,0.0,379,389,0.75,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,0,1.8,0.0,1140,1284,0.42,1
donbas_rural.jpg,orb,20,0.7,0,1.8,0.4,214,235,2.80,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,0,1.8,0.4,1098,1246,0.62,1
donbas_rural.jpg,orb,20,0.7,30,1.0,0.0,442,485,0.71,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,30,1.0,0.0,1139,1244,0.38,1
donbas_rural.jpg,orb,20,0.7,30,1.0,0.4,302,321,0.84,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,30,1.0,0.4,943,1204,1.15,1
donbas_rural.jpg,orb,20,0.7,30,1.8,0.0,370,384,0.84,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,30,1.8,0.0,1044,1236,0.44,1
donbas_rural.jpg,orb,20,0.7,30,1.8,0.4,210,235,2.15,1
